source_id,original_ext_source_id,gaia_astrometric_params,tmass_oid,number_of_neighbours,number_of_mates,best_neighbour_multiplicity,col2mass,parallax,parallax_error,pmra,pmdec,pmra_error,pmdec_error,ra,dec,astrometric_chi2_al,astrometric_n_good_obs_al,phot_bp_rp_excess_factor,bp_rp,bp_g,phot_g_mean_mag,g_rp,phot_bp_mean_mag,visibility_periods_used
2207268184012626816,22563575+6242106,5,456340153,1,0,1,22563575+6242106,1.4826662028339563,0.16942002988854535,-1.164024932272459,-0.7115106590265581,0.30925633004199976,0.25031470250760335,344.14893329613625,62.702964890796586,559.85895,282,1.7809782,2.9456367,1.5099182,18.280807,1.4357185,19.790726,18
2207293026109847808,22563584+6247168,5,456490956,1,0,1,22563584+6247168,1.0072809911695353,0.648500753967516,-3.1313222208239213,-3.1416389291491265,1.2434622417979007,1.1101969448759093,344.14924202563964,62.78799707673034,302.7402,206,2.1541271,2.5344944,0.94228745,20.133112,1.592207,21.0754,17
2207219942942357760,22563613+6236455,5,456180157,1,0,1,22563613+6236455,2.217463978997497,0.919408856881136,3.0995768503956773,2.277020803414044,1.7068076211218506,1.328512998251457,344.1505393068615,62.612646676795656,4792.149,266,2.5226867,2.6295528,0.8527813,19.045046,1.7767715,19.897827,18
2207221149830172160,22563654+6240077,5,456279690,1,0,1,22563654+6240077,1.079748171632401,0.022367092608096027,-0.5454888640993926,-2.403951446971616,0.04001685318788574,0.03420933543420012,344.1522022621169,62.668824665965104,371.39178,299,1.340029,1.8639069,0.91218185,12.36786,0.951725,13.280042,18
2207219874219653888,22563660+6235553,5,456155201,1,0,1,22563660+6235553,0.9322094915519739,0.1104186783411823,-0.31656617911188467,-2.982200755649564,0.20122028936198333,0.15837762231697655,344.15247620399276,62.59873305292486,504.62946,274,1.7218968,2.848652,1.4599075,17.521086,1.3887444,18.980993,17
2207269214807217280,22563661+6244545,5,456421045,1,0,1,22563661+6244545,0.24595331937676057,0.5599481763740307,0.4416812331940922,-2.060931769698427,1.2033048530798063,1.0714855483032546,344.1525175307698,62.74846914164484,287.1941,221,2.3920016,2.5786781,0.8665409,20.294823,1.7121372,21.161364,17
2207220870655306752,22563671+6238595,5,456245994,1,0,1,22563671+6238595,1.5670329377373502,0.26644327842356713,-0.8375131352361692,-3.0628982617703597,0.5595514147542892,0.42184614943667614,344.1529655396146,62.6499010526242,306.88702,256,2.2299185,2.5248852,0.896513,19.296625,1.6283722,20.193138,17
2207219942942357632,22563733+6236463,5,456180573,1,0,1,22563733+6236463,0.9572641143682602,0.19212973886065543,-0.4248938419928797,-2.4661739298180785,0.3023254971064764,0.24801567243124414,344.15549100324057,62.61290707720236,449.92813,256,2.0629058,2.8738098,1.2861214,18.383936,1.5876884,19.670057,18
2207292686800237184,22563747+6245171,2,456432129,1,0,1,22563747+6245171,,,,,,,344.1561601878681,62.75465985354712,179.28505,115,,,,19.718391,,,8
2207215068156548992,22563753+6229123,5,455957777,1,0,1,22563753+6229123,0.6734439919891025,0.36482099512986915,-1.8389847361298552,-4.064986267755062,0.7169477209391736,0.5167032387905842,344.15633662139237,62.48672477953904,384.6968,257,2.0011024,2.831812,1.2817936,19.433115,1.5500183,20.714909,17
2207219874231139456,22563769+6236075,2,456161164,1,0,1,22563769+6236075,,,,,,,344.157075650963,62.60207703742004,85.51918,69,3.5824223,2.0394306,-0.018917084,20.27413,2.0583477,20.255213,5
2207220870663552384,22563792+6238566,5,456244500,1,0,1,22563792+6238566,1.5679415620891217,0.3674093839072202,-1.6272616692659214,-3.1019341685543744,0.8491594696523777,0.603412933412226,344.1579909802852,62.649046062984326,318.72876,246,2.5851092,2.2150517,0.4766426,19.685751,1.738409,20.162394,16
2207221081110700032,22563795+6239508,5,456271260,1,0,1,22563795+6239508,1.1985608909200642,0.0813178258472358,-0.5126404440210668,-2.598369976555804,0.141220783743466,0.11640325384945119,344.158108033443,62.664116275842915,304.02533,294,1.6397758,2.5299702,1.2346287,17.54885,1.2953415,18.783478,18
2207292751225775872,22563808+6245401,5,456443458,1,0,1,22563808+6245401,0.8780010377351031,0.19979838377380166,-0.3808832541112349,-2.8306615269810838,0.36346070755773463,0.35276778329070946,344.1586497202744,62.76111995443781,361.625,256,1.7696285,3.1873608,1.7361488,18.83267,1.4512119,20.568819,18
2207221145532854656,22563812+6240582,5,456304619,1,0,1,22563812+6240582,0.6343503022067917,0.20000990495235588,-0.08210337323443623,-2.0910820455270147,0.33302920454293644,0.2671651396741203,344.15882062740116,62.68286462065017,340.61353,285,2.124122,2.5337372,0.9568691,18.84537,1.576868,19.802238,18
2207292755524862592,22563857+6245314,5,456439213,1,0,1,22563857+6245314,1.1736538403674182,0.06566752004202171,-0.4280017460959995,-1.6765857176746548,0.14493593158264842,0.1278917252925146,344.1606831554048,62.75871173930858,276.48154,234,1.5190166,2.7057543,1.4699402,17.034492,1.2358141,18.504433,17
2207215510540141568,22563884+6230376,5,455999316,1,0,1,22563884+6230376,0.6558193320631416,0.2701662029600634,0.3566776215562497,-2.5619924776158713,0.5269576302524459,0.3906044478250073,344.1616878893118,62.510406766102975,386.70764,248,1.9537578,2.8989563,1.3675842,18.997822,1.5313721,20.365406,15
2207220050318572288,22563890+6237401,5,456207046,1,0,1,22563890+6237401,-0.13302516838030387,0.36237488014681724,-4.655270116952049,1.424245845736901,0.6176522568411383,0.5446206102615763,344.1620521858529,62.62780258503788,6799.7974,286,1.7588898,2.8294497,1.419775,17.31259,1.4096746,18.732365,18
2207220806232811008,22563930+6238150,2,456224026,1,0,1,22563930+6238150,,,,,,,344.16378931309396,62.637556689608026,33883.324,277,2.1072793,2.8364906,1.2298164,17.715328,1.6066742,18.945145,18
2207292751228003072,22563960+6246055,5,456456113,1,0,1,22563960+6246055,1.3429675629898457,0.278229009129535,-0.7153875146216354,-3.4677500010347404,0.6148121457970124,0.5096279499763511,344.16493517333885,62.76818585843395,329.3324,245,1.8827957,2.8140411,1.3322029,19.322412,1.4818382,20.654615,18
2207220870655305088,22563955+6238427,5,456237610,1,0,1,22563955+6238427,0.94892709920275,0.17942192946631008,-0.08495025619041663,-3.2633532468794546,0.32090367175622964,0.24096954225018064,344.1647827072639,62.645218314051924,418.79755,276,1.9810666,2.9175453,1.3691387,18.409721,1.5484066,19.77886,17
2207216339466859008,22563970+6232021,5,456040344,1,0,1,22563970+6232021,0.5097575231751968,0.19008728459317892,0.168626490871997,-2.779230781098022,0.3884521230901577,0.29276852568539236,344.1654471795741,62.533926648388736,2729.756,263,1.5690225,2.7558012,1.4787064,16.745613,1.2770948,18.22432,17
2207292755519696512,22563980+6245594,5,456453056,1,0,1,22563980+6245594,1.0382887699874683,0.2680858022567151,0.13967750040298638,-2.4424651216437203,0.5964851832768145,0.497420011144712,344.16575955126706,62.76648463244552,339.37466,254,1.9043753,2.8851814,1.3830814,19.307186,1.5021,20.690268,18
2207268119592507520,22563994+6241366,5,456323540,1,0,1,22563994+6241366,1.3010546442217048,0.08948861053256223,-0.5547368401026045,-2.1014502659150116,0.16075328357168603,0.1314885424930902,344.1663938681692,62.69352382232316,453.33316,286,1.6113937,3.009942,1.6764488,17.253225,1.3334932,18.929674,17
2207292686805393152,22564034+6245133,5,456430296,1,0,1,22564034+6245133,0.9221291477094049,0.1971005126232267,-0.7907393348378388,-1.5441893018629165,0.32169239090889795,0.35482902097393654,344.16807984577036,62.75369090872761,3023.0073,210,1.5713856,2.732256,1.4563732,16.257393,1.2758827,17.713766,15
