Title:
Authors:
Table:
================================================================================
Byte-by-byte Description of file: datafile.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label            Explanations
--------------------------------------------------------------------------------
   1- 16 A16    --        2MASS            2MASS identification number
  18- 22 I5     --        Cnts             Combined number of X-ray photon
  24- 31 A8     mW/m2     AttXflux         Attenuated X-ray flux
  33- 41 A9     mW/m2     AttXfluxUnc      Attenuated X-ray flux uncertainty
  43- 59 A17    mW/m2     UnattXflux       Corrected X-ray flux
  61- 69 A9     mW/m2     UnattXfluxUnc    Corrected X-ray flux uncertainty
  71- 74 F4.2   [mW/m2]   XSurfaceFlux     X-ray surface flux
  76-103 F28.5  [mW/m2]   XSurfaceFluxUnc  X-ray surface flux uncertainty
--------------------------------------------------------------------------------
Note (1):   ***ADD LENGTHY NOTES HERE***
Note (2):   ***OR REMOVE THIS SECTION***
--------------------------------------------------------------------------------
22545553+6233577 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.74 -199998000000000000000.00000 
22545560+6245413 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.55 -199998000000000000000.00000 
22545621+6239328 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.67 -199998000000000000000.00000 
22545686+6227285 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   5.97 -199998000000000000000.00000 
22545689+6235164 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.54 -199998000000000000000.00000 
22545730+6238100 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.67 -199998000000000000000.00000 
22545733+6238209 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.57 -199998000000000000000.00000 
22545815+6241327 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.34 -199998000000000000000.00000 
22545900+6233511 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.26 -199998000000000000000.00000 
22545903+6237177   135 4.91e-14 4.79e-15  1.01e-13          9.882e-15 6.95                      0.10000 
22545921+6238089 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.58 -199998000000000000000.00000 
22545969+6237193 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.36 -199998000000000000000.00000 
22550012+6234019 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.01 -199998000000000000000.00000 
22550031+6246239 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   7.27 -199998000000000000000.00000 
22550051+6233485 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   5.31 -199998000000000000000.00000 
22550059+6235221    61 6.08e-15 1.17e-15  1.368e-14         2.727e-15 6.00                      0.20000 
22550113+6234011 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.17 -199998000000000000000.00000 
22550219+6233442   135 4.35e-14 4.35e-15  9.447e-14         9.441e-15 7.40                      0.10000 
22550265+6229136 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.21 -199998000000000000000.00000 
22550324+6236338 -9999 4.92e-15 -1.00e+04 4.92213159512e-15 -9999.9   6.65 -199998000000000000000.00000 
